date,open,high,low,close,volume,symbol,name
2021-12-06 11:00:00,282.62,283.1678,281.26,281.4037,1344192,BRK.B,Berkshire Hathaway Class B
2021-12-03 15:00:00,275.49,278.37,275.27,277.5,2047468,BRK.B,Berkshire Hathaway Class B
2021-12-03 11:00:00,277.485,278.7153,275.45,275.45,1608473,BRK.B,Berkshire Hathaway Class B
2021-12-02 15:00:00,279.755,279.99,278.47,278.5,1218834,BRK.B,Berkshire Hathaway Class B
2021-12-02 11:00:00,278.8,280.37,277.71,279.69,1347019,BRK.B,Berkshire Hathaway Class B
2021-12-01 15:00:00,278.26,278.47,274.5001,276.0999,1455465,BRK.B,Berkshire Hathaway Class B
2021-12-01 11:00:00,280.59,281.72,277.8301,278.25,1829934,BRK.B,Berkshire Hathaway Class B
2021-11-30 15:00:00,277.71,277.96,275.89,277.5,3003208,BRK.B,Berkshire Hathaway Class B
2021-11-30 11:00:00,278.27,279.88,277.22,277.72,2280254,BRK.B,Berkshire Hathaway Class B
2021-11-29 15:00:00,282.935,283.13,281.81,282.4,992915,BRK.B,Berkshire Hathaway Class B
2021-11-29 11:00:00,281.91,283.34,281.42,282.93,1361636,BRK.B,Berkshire Hathaway Class B
2021-11-26 15:00:00,282.75,282.75,282.02,282.02,2118,BRK.B,Berkshire Hathaway Class B
2021-11-26 11:00:00,283.28,284.84,281.5,282.64,2057094,BRK.B,Berkshire Hathaway Class B
2021-11-24 15:00:00,287.23,287.55,286.5,287.49,977246,BRK.B,Berkshire Hathaway Class B
2021-11-24 11:00:00,287.23,287.75,286.09,287.21,1398436,BRK.B,Berkshire Hathaway Class B
2021-11-23 15:00:00,288.42,288.73,287.7,288.56,1224841,BRK.B,Berkshire Hathaway Class B
2021-11-23 11:00:00,286.22,288.5,285.615,288.434,1633279,BRK.B,Berkshire Hathaway Class B
2021-11-22 15:00:00,286.14,286.44,284.5,285,1189528,BRK.B,Berkshire Hathaway Class B
2021-11-22 11:00:00,282.495,286.27,282.43,286.11,1812406,BRK.B,Berkshire Hathaway Class B
2021-11-19 15:00:00,280.0433,280.49,279.5,279.98,990262,BRK.B,Berkshire Hathaway Class B
2021-11-19 11:00:00,279.69,280.93,279.48,280.045,1354026,BRK.B,Berkshire Hathaway Class B
2021-11-18 15:00:00,281.388,281.48,280.49,280.89,762415,BRK.B,Berkshire Hathaway Class B
2021-11-18 11:00:00,280.066,281.75,279.8856,281.37,1038516,BRK.B,Berkshire Hathaway Class B
2021-11-17 15:00:00,282.07,282.45,281.43,281.76,892962,BRK.B,Berkshire Hathaway Class B
2021-11-17 11:00:00,281.34,282.48,280.9,282.085,1362780,BRK.B,Berkshire Hathaway Class B
2021-11-16 15:00:00,284.0899,284.13,283.12,283.5101,1231530,BRK.B,Berkshire Hathaway Class B
2021-11-16 11:00:00,283.85,284.96,283.835,284.06,1355615,BRK.B,Berkshire Hathaway Class B
2021-11-15 15:00:00,284.78,284.98,284.24,284.83,683447,BRK.B,Berkshire Hathaway Class B
